ID	Dichter	LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-13122019	
23	Paul Bogaert	https://literatuurplein.nl/detail/poezie/paul-bogaert/23	http://web.archive.org/web/20191201072501/https://literatuurplein.nl/detail/poezie/paul-bogaert/23	200	Klik
23	Paul Bogaert	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=23	http://web.archive.org/web/20191130174838/https://www.literatuurplein.nl/detail/poezie/paul-bogaert/23	200	Klik
61	Christine D’Haen	https://literatuurplein.nl/detail/poezie/christine-d-haen/61	http://web.archive.org/web/20191201072525/https://literatuurplein.nl/detail/poezie/christine-d-haen/61	200	Klik
61	Christine D’Haen	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=61	http://web.archive.org/web/20191130174916/https://www.literatuurplein.nl/detail/poezie/christine-d-haen/61	200	Klik
101	Hester Knibbe	https://literatuurplein.nl/detail/poezie/hester-knibbe/101	http://web.archive.org/web/20191201072628/https://literatuurplein.nl/detail/poezie/hester-knibbe/101	200	Klik
101	Hester Knibbe	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=101	http://web.archive.org/web/20191130174651/https://www.literatuurplein.nl/detail/poezie/hester-knibbe/101	200	Klik
121	Lieke Marsman	https://literatuurplein.nl/detail/poezie/lieke-marsman/121	http://web.archive.org/web/20191201072455/https://literatuurplein.nl/detail/poezie/lieke-marsman/121	200	Klik
121	Lieke Marsman	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=121	http://web.archive.org/web/20191130174658/https://www.literatuurplein.nl/detail/poezie/lieke-marsman/121	200	Klik
122	Els Moors	https://literatuurplein.nl/detail/poezie/els-moors/122	http://web.archive.org/web/20191201072513/https://literatuurplein.nl/detail/poezie/els-moors/122	200	Klik
122	Els Moors	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=122	http://web.archive.org/web/20191130174706/https://www.literatuurplein.nl/detail/poezie/els-moors/122	200	Klik
123	Miriam Van hee	https://literatuurplein.nl/detail/poezie/miriam-van-hee/123	http://web.archive.org/web/20191201072616/https://literatuurplein.nl/detail/poezie/miriam-van-hee/123	200	Klik
123	Miriam Van hee	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=123	http://web.archive.org/web/20191130174714/https://www.literatuurplein.nl/detail/poezie/miriam-van-hee/123	200	Klik
141	Charles Ducal	https://literatuurplein.nl/detail/poezie/charles-ducal/141	http://web.archive.org/web/20191201072622/https://literatuurplein.nl/detail/poezie/charles-ducal/141	200	Klik
141	Charles Ducal	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=141	http://web.archive.org/web/20191130174722/https://www.literatuurplein.nl/detail/poezie/charles-ducal/141	200	Klik
161	Geert De Kockere	https://literatuurplein.nl/detail/poezie/geert-de-kockere/161	http://web.archive.org/web/20191201072552/https://literatuurplein.nl/detail/poezie/geert-de-kockere/161	200	Klik
161	Geert De Kockere	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=161	http://web.archive.org/web/20191130174730/https://www.literatuurplein.nl/detail/poezie/geert-de-kockere/161	200	Klik
162	Alfred Schaffer	https://literatuurplein.nl/detail/poezie/alfred-schaffer/162	http://web.archive.org/web/20191201072442/https://literatuurplein.nl/detail/poezie/alfred-schaffer/162	200	Klik
162	Alfred Schaffer	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=162	http://web.archive.org/web/20191130174737/https://www.literatuurplein.nl/detail/poezie/alfred-schaffer/162	200	Klik
181	Ted van Lieshout	https://literatuurplein.nl/detail/poezie/ted-van-lieshout/181	http://web.archive.org/web/20191201072519/https://literatuurplein.nl/detail/poezie/ted-van-lieshout/181	200	Klik
181	Ted van Lieshout	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=181	http://web.archive.org/web/20191130174744/https://www.literatuurplein.nl/detail/poezie/ted-van-lieshout/181	200	Klik
182	Maarten van der Graaff	https://literatuurplein.nl/detail/poezie/maarten-van-der-graaff/182	http://web.archive.org/web/20191201072431/https://literatuurplein.nl/detail/poezie/maarten-van-der-graaff/182	200	Klik
182	Maarten van der Graaff	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=182	http://web.archive.org/web/20191130174752/https://www.literatuurplein.nl/detail/poezie/maarten-van-der-graaff/182	200	Klik
183	Peter Verhelst	https://literatuurplein.nl/detail/poezie/peter-verhelst/183	http://web.archive.org/web/20191201072537/https://literatuurplein.nl/detail/poezie/peter-verhelst/183	200	Klik
183	Peter Verhelst	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=183	http://web.archive.org/web/20191130174800/https://www.literatuurplein.nl/detail/poezie/peter-verhelst/183	200	Klik
201	Charlotte Van den Broeck	https://literatuurplein.nl/detail/poezie/charlotte-van-den-broeck/201	http://web.archive.org/web/20191201072507/https://literatuurplein.nl/detail/poezie/charlotte-van-den-broeck/201	200	Klik
201	Charlotte Van den Broeck	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=201	http://web.archive.org/web/20191130174815/https://www.literatuurplein.nl/detail/poezie/charlotte-van-den-broeck/201	200	Klik
		https://www.literatuurplein.nl/poezieoverzicht	http://web.archive.org/web/20191130174922/https://www.literatuurplein.nl/poezieoverzicht	200	Klik
		https://www.literatuurplein.nl/poezieoverzicht.jsp	http://web.archive.org/web/20191130174929/https://www.literatuurplein.nl/poezieoverzicht	200	Klik
